fid,IDENT,COMMUNE,SECTEUR,TYPE,NOM,DATEPOSE,MODELE,MARQUE,FONCTION,DEBIT_MOYEN,DIAMETRE,OBSERVATIONS,ORIGINE,CLASSE_PRECISION,ORIENTATION,DATE_CREA,DATE_UPDATE,USER_CREA,USER_UPDATE,OLD_ID,INSEE,ZTN,ZR,PRES_AMONT,PRESS_AVAL,DATE_ENTRETIEN,latitude,longitude,DEBIT_INSTANTANE,DEBIT_NUIT,DEBIT_MIN,DEBIT_MAX,COMPTEUR,Distance à l’installation [m],Type d’installation électrique,Distance au Poste-électrique le plus proche [m],estimated_flow_obs
23,"23",SAINT MAURICE NAVACELLES,,Réducteur de pression,LES BESSES- ST MAURICE,2023/07/10 23:09:21,REDAR,RAMUS,REDUCTEUR AVAL,,80,"Filtre Rp Ca Rv pression amont 16 bars pression aval 5 bars photos n° 282 283 284 285 286",GPS,A,,2020/10/29 16:31:36.960,2020/10/29 16:31:36.960,Altereo,Altereo,,"34277",569,0,16.29,4.5,,2293585.14052295,1739249.74176327,0.36,0.46,0.36,8.52,,79.413,Poteau,664.601,0.480
24,"24",SAINT MAURICE NAVACELLES,,Réducteur de pression,SAINT MAURICE NAVAZE,2023/07/10 23:09:21,REDAR,RAMUS,REDUCTEUR AVAL,,80,"Filtre Rp Ca Rv pression amont 16 bars pression aval 15 bars photos n° 287 288 289 290",GPS,A,,2020/10/29 16:31:36.960,2020/10/29 16:31:36.960,Altereo,Altereo,,"34277",569,0,16.3,8.8,,2293584.96729169,1739249.6474856,4.8,1.95,1.2,7.2,,79.215,Poteau,664.721,1.912
41,"3414200019",LODEVE,,Réducteur de pression,Chemin de Bellevue,,"320005",BAYARD,,0,65,SOUS REGARD,GPS,A,,,,,,,"34142",257.77,0,10.74,5.29,,2281831.82001829,1724192.69779058,,,,,,27.322,Poteau,306.295,
44,"3414200016",LODEVE,,Réducteur de pression,Avenue de la République,,2122111-40,CLAVAL,,0,100,SOUS REGARD,GPS,A,,,,,rralite,,"34142",197.45,0,11,4.5,,2284484.72609707,1726176.99430259,4.15,4,3.68,13.6,Q05/Q14,103.801,Poteau,265.073,2.065
50,"3414200010",LODEVE,,Réducteur de pression,Lotissement Audran,2015/05/05 00:00:00,"321012",BAYARD,,0,100,SOUS REGARD,GPS,A,,,,,,,"34142",256.53,0,11,4.3,,2282354.58690559,1725499.83770594,,,,,,6.518,Poteau,18.238,
53,"3414200007",LODEVE,,Réducteur de pression,Chemin du Castellas,,"320012",BAYARD,,0,100,SOUS REGARD,GPS,A,,,,,,,"34142",216.58,0,11.2,3.2,,2280557.77119677,1725441.00576233,0,,,,,8.044,Poteau,16.644,9.180
54,"3414200006",LODEVE,,Réducteur de pression,Chemin des causses,,"831237",RAMUS,,0,100,SOUS REGARD,GPS,A,,,,,,,"34142",214.71,0,11.9,5,,2280535.42315894,1725407.46065748,,,,,,20.721,Poteau,56.814,
60,"3422000002",LE PUECH,,Réducteur de pression,Reprise Le Puech,2015/01/01 00:00:00,"321013",BAYARD,,0,100,SOUS REGARD,GPS,A,,,,,,,"34220",142.97,0,12.03,5.22,,2277449.564189,1726369.36289665,,,,,,6.843,Poteau,8.340,4.074
90,,SAINT-MAURICE-NAVACELLES,,Stabilisateur de pression,Le Viala - La Baume Auriol,2020/01/15 00:00:00,,BAYARD,,,60,,GPS,A,,2023/02/22 16:34:07.354,2023/02/22 16:34:07.354,rralite,rralite,,"34277",679.271,,10.5,3,,2295587.87187342,1737336.55911663,1,0.96,0.88,1.92,Q24,112.393,Poteau,112.631,0.720
97,,SAINT-MAURICE-NAVACELLES,,Réducteur de pression,Ligne Ferrusac - Le Coulet,2020/05/29 00:00:00,"321011",BAYARD,,,80,,CCLL,A,,2023/04/28 15:30:40.969,2023/04/28 15:30:40.969,rralite,rralite,,"34277",562.951,,14,6,,2290157.95799207,1742173.66799152,0,0,0,2.24,,77.226,Poteau,513.476,0.059
101,,LODEVE,,Réducteur de pression,Réducteur Ancien chemin d'Olmet,2000/01/01 00:00:00.768,REDAR,RAMUS,,,60,,GPS CCLL,A,,2024/02/16 15:57:04.767,,,,,"34142",223.9,,10.5,4.1,,2280349.13516551,1725347.46712218,,,,,,55.883,Poteau,241.464,
106,,,,Réducteur de pression,Saint Martin d'Azirou,,,RAMUS,,,60,Prévoir changement filtre et réducteur fonctionne mais vétuste,CCLL,A,,,,,,,,,,10.29,7.7,,2287170.71017324,1739537.26892799,0,0,0,0.32,Q01,12.204,Poteau,13.590,0.100
108,,,,Stabilisateur de pression,COMBE AUBERT,2024/03/05 00:00:00,HYDROBLOC,BAYARD,STAB AVAL,,100,,,,,,,,,,,,,10.9,2.9,,2294173.67830075,1734868.00839456,4.4,4,3.6,10,,20.456,Poteau,1080.198,3.360
113,,LAUROUX,,Stabilisateur de pression,TOS vers Mayres,2023/01/01 00:00:00,"048084",BAYARD,,,125,,CCLL,B,,,,,,,,,,15,6.14,,2284917.83684831,1725126.25062008,101.75,,,,S02,37.2,Poste-électrique,37.2,76.954
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
